no,contentsId,category,title,description,manuscript,jp,en,ch,kr,industryCd,industryName,sceneCd,sceneName
106,00106,template,年⾦⽀給⽇,年金支給日案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。年⾦の⽀給に、当店の口座をご利用されているお客様へ、ご案内申し上げます。年⾦は、偶数⽉の１５日に口座へ振り込まれます。また、１５日が⼟曜、日曜、祝日の場合には、その前日の平日が振込日となります。ご不明な点等ございましたら係員までお尋ねください。本日は、ご来店誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。年金の支給に、当店の口座をご利用されているお客様へ、ご案内申し上げます。年金は、偶数月の１５日に口座へ振り込まれます。また、１５日が土曜、日曜、祝日の場合には、その前日の平日が振込日となります。ご不明な点等ございましたら係員までお尋ねください。本日はご来店誠にありがとうございます,,,,51-99,金融機関向け-全業種のシーン一覧,007-007,案内-案内
107,00107,template,クールビズ,クールビズ案内（金融業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、地球温暖化防止対策の一環としてエネルギーの消費が増える夏の期間は冷房を２８度を目安に設定させていただいております。このため、職員がノーネクタイなどの軽装で応対させていただく場合がございますが、何卒ご理解いただきますようお願いいたします。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、地球温暖化防止対策の一環として、エネルギーの消費が増える夏の期間は、冷房を２８度を目安に設定させていただいております。このため、職員がノーネクタイなどの軽装で応対させていただく場合がございますが、何卒ご理解いただきますようお願いいたします。,"Thank you for visiting us today. The following is an announcement for our customers. Here in this establishment, we have our cooling systems set to approximately 28 degrees Celsius as a part of the measures we are taking against global warming during the summer, when energy consumption tends to increase. Because of this, staff may not be wearing neckties, and may be in lighter attire. We thank you for your understanding.",衷心感谢各位顾客今天的光临。下面为您广播通知。作为防止温室效应的一项措施，本店会在能源消耗较多的夏季将空调冷气的温度设置为28度左右。因此，工作人员有时可能会穿着不系领带的轻便服装为您服务，敬请理解。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 지점에서는 지구온난화방지 대책의 일환으로 에너지 소비가 증가하는 여름철에는 냉방을 28도로 설정하고 있습니다. 따라서 직원이 가벼운 복장으로 응대해 드리는 경우가 있으므로 양해를 부탁드립니다.,51-99,金融機関向け-全業種のシーン一覧,007-007,案内-案内
108,00108,template,ウォームビズ,ウォームビズ案内（金融業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、地球温暖化防止対策の一環として暖房を２０度を目安に設定させていただいております。このため、職員が暖房に頼りすぎずに仕事ができる服装で、応対させていただく場合がございますが、何卒ご理解いただきますようお願いいたします。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、地球温暖化防止対策の一環として、暖房を２０度を目安に設定させていただいております。このため、職員が暖房に頼りすぎずに仕事ができる服装で、応対させていただく場合がございますが、何卒ご理解いただきますようお願いいたします。,"Thank you for visiting us today. The following is an announcement for our customers. Here in this establishment, we have our heating systems set to approximately 20 degrees Celsius as a part of the measures we are taking against global warming. Because of this, staff may be in attire that allows them to work comfortably without being too dependent on the heating systems. We thank you for your understanding.",衷心感谢各位顾客今天的光临。下面为您广播通知。作为防止温室效应的一项措施，本店会将空调暖风的温度设置为20度左右。因此，工作人员有时可能会穿着有一定厚度的服装为您服务，敬请理解。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 지점에서는 지구온난화방지 대책의 일환으로 난방을 20도로 설정하고 있습니다. 따라서 직원이 난방에 영향을 받지 않는 복장으로 응대해 드리는 경우가 있으므로 양해를 부탁드립니다.,51-99,金融機関向け-全業種のシーン一覧,007-007,案内-案内
109,00109,template,新⼊学,口座開設案内（新入学、新生活）K231,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。新⼊学・新⽣活などにあわせて、当店で新規口座を開設してみてはいかがでしょう。口座開設をご希望のお客様は、お近くの係員までお声がけくださいませ。本日は、ご来店誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。新入学・新生活などにあわせて、当店で新規口座を開設してみてはいかがでしょう。口座開設をご希望のお客様は、お近くの係員までお問合せくださいませ。本日はご来店誠にありがとうございます。,,,,51-99,金融機関向け-全業種のシーン一覧,007-007,案内-案内
110,00110,template,年末挨拶,年末挨拶案内（金融）K235,いらっしゃいませ。お客様にご挨拶申し上げます。本年も、残すところあとわずかとなりました。この一年間、${customerName}をご利用くださいまして、誠にありがとうございました。当店は、皆様に信頼される⾦融機関をめざして、従業員一同努⼒してまいります。来年も引き続きお引き⽴てくださいますよう、お願い申し上げます。,いらっしゃいませ。お客様にご挨拶申し上げます。本年も、残すところ、あとわずかとなりました。この一年間、${customerName}をご利用くださいまして、誠にありがとうございました。当店は、皆様に信頼される金融機関をめざして、従業員一同、努力してまいります。来年も引き続きお引き立てくださいますよう・お願い申し上げます。,,,,51-99,金融機関向け-全業種のシーン一覧,008-007,年末営業告知-年末営業告知
111,00111,template,年始挨拶,年始挨拶案内（金融）K241,新年、あけましておめでとうございます。本年も、${customerName}をご利用くださいまして、誠にありがとうございます。当店は、今年も皆様に信頼される⾦融機関をめざして、従業員一同がんばってまいります。どうぞ引き続きお引き⽴てくださいますよう、お願い申し上げます。本年もよろしくお願いいたします。,新年、あけましておめでとうございます。本年も、${customerName}をご利用くださいまして、誠にありがとうございます。当店は、今年も・皆様に信頼される金融機関をめざして、従業員一同、がんばってまいります。どうぞ引き続きお引き立てくださいますよう、お願い申し上げます。本年もよろしくお願いいたします。,,,,51-99,金融機関向け-全業種のシーン一覧,009-008,年始営業告知-年末営業告知
112,00112,template,◯時閉店,窓口営業時間案内（◯時閉店）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。本日、当店の窓口業務は、${time}までとなっております。また閉店時間間際は、混み合う場合がございます。⼤変ご迷惑をおかけ致しますが、ご了承くださいませ。本日は、ご来店誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。本日、当店の窓口業務は、${time}までとなっております。また、閉店時間間際は、混み合う場合がございます。大変ご迷惑をおかけ致しますが、ご了承くださいませ。本日はご来店誠にありがとうございます。,Thank you for visiting us today. The following is an announcement for our customers. Our counters are open until ${time}. today. There may be crowding right before closing. We thank you kindly for your understanding. Thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店今天的柜台业务办理时间截止至${time}。另外，营业时间即将结束时可能较为拥挤。对于给您带来的不便，我们深表歉意，恳请您给予理解。再次衷心感谢您今天的光临。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 오늘의 창구 업무는 ${time}까지입니다. 또한, 영업 종료 시간에는 혼잡한 경우가 있습니다. 불편을 끼쳐드려 대단히 죄송합니다만, 양해해 주시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.",51-99,金融機関向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
113,00113,template,ＡＴＭ◯時まで,ATM営業時間案内（◯時閉店）,本日は、 ${customerName} にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。本日、当店ＡＴＭの営業時間は、 ${time} までとなっております。また終了時間間際は、混み合う場合がございます。お早めにご利用くださいますよう、お願い申し上げます。本日は、ご来店誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。本日、当店・ＡＴＭの営業時間は、 ${time} までとなっております。また終了時間間際は、混み合う場合がございます。お早めにご利用くださいますよう、お願い申し上げます。本日はご来店誠にありがとうございます。,"Thank you for visiting us today. The following is an announcement for our customers. Our ATMs are open until ${time}. today. As there may be crowding when it is close to closing, please try to use the ATMs at earlier times if it is possible. Thank you for visiting us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店的自动取款机的使用时间截止至${time}。另外，使用时间即将结束时可能较为拥挤。请您尽早使用。再次衷心感谢您今天的光临。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 오늘의 ATM 업무는  ${time}까지입니다. 또한, 종료 시간대에는 혼잡한 경우가 있습니다. 미리 이용해 주시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.",51-99,金融機関向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
114,00114,template,ＡＴＭ開店案内,ATM開店案内,いらっしゃいませ。本日は、${customerName}をご利用くださいまして、誠にありがとうございます。只今より、ＡＴＭの営業を始めさせていただきます。ご不明な点や、お困りのことがございましたら、インターフォンで係員をお呼び出しください。ご利用ありがとうございます。当店のＡＴＭ、只今より営業させていただきます,いらっしゃいませ。本日は、${customerName}をご利用くださいまして、誠にありがとうございます。只今より、ＡＴＭの営業を、開始させていただきます。ご不明な点や、お困りのことがございましたら、インターフォンで係員をお呼び出しください。ご利用ありがとうございます。当店のＡＴＭ、只今より営業させていただきます。,"Welcome. Thank you for visiting us today. Our ATMs will be opening now. If you have any questions or experience trouble with the ATM, please use the intercom system to call for the staff. Thank you for visiting us today. Our ATMs will be opening now.",欢迎光临。衷心感谢各位今天光临本店。自动取款机现已可以使用。如果您有任何疑问或需要我们的帮助，请通过对讲机呼叫工作人员。感谢您的惠顾。本店的自动取款机现已可以使用。,"어서 오십시오. 오늘도 이용해 주셔서 대단히 감사합니다. 지금부터 ATM 업무를 시작하겠습니다. 궁금하신 점이나 불편한 점이 있으신 경우, 인터폰으로 직원을 호출해 주시기 바랍니다. 이용해 주셔서 감사합니다. 지금부터 저희 지점의 ATM 업무를 시작하겠습니다.",51-99,金融機関向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
115,00115,template,ＡＴＭ閉店予告,ATM閉店予告案内,いらっしゃいませ。本日は、${customerName}をご利用くださいまして、誠にありがとうございます。当店のＡＴＭは、まもなく営業を終了させていただきます。誠に恐れ⼊りますが、お取り引きがお済みでないお客様は、お急ぎくださいませ。本日は、ご来店ありがとうございました。またのご利用、⼼よりお待ち申し上げております。,いらっしゃいませ。本日は、${customerName}をご利用くださいまして、誠にありがとうございます。当店のＡＴＭは、まもなく営業を終了させていただきます。誠に恐れ入りますが、お取り引きがお済みでないお客様は、おいそぎくださいませ。本日はご来店ありがとうございました。またのご利用、心よりお待ち申し上げております。,Welcome. Thank you for visiting us today. Our ATMs will be closing soon. We kindly ask that those who have yet to use an ATM hurry before ATMs close. Thank you for visiting us today. We look forward to seeing you again soon.,欢迎光临。衷心感谢各位今天光临本店。本店的自动取款机即将停止使用。烦请尚未完成交易的顾客抓紧时间。感谢您今天的惠顾。我们衷心感谢各位顾客今天的光临。,"어서 오십시오. 오늘도 이용해 주셔서 대단히 감사합니다. 저희 지점의 ATM 기기는 곧 영업을 종료합니다. 대단히 죄송합니다만, 아직 거래를 마치지 못하신 고객님께서는 서둘러 주시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다. 다시 찾아 주시기를 진심으로 기원합니다.",51-99,金融機関向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
116,00116,template,ＡＴＭ閉店案内,ATM閉店案内,いらっしゃいませ。本日は、${customerName}をご利用くださいまして、誠にありがとうございます。只今をもちまして、当店のＡＴＭは、営業を終了させていただきました。今後とも、当店をお引き⽴てくださいますよう、お願い申し上げます。本日は、ご来店誠にありがとうございました。,いらっしゃいませ。本日は、${customerName}をご利用くださいまして、誠にありがとうございます。只今をもちまして、当店のＡＴＭは、営業を終了させていただきました。今後とも、当店をお引き立てくださいますよう、お願い申し上げます。本日はご来店誠にありがとうございました。,Welcome. Thank you for visiting us today. Our ATMs have now closed. We look forward to continuing to serve our valued customers. Thank you for visiting us today.,欢迎光临。衷心感谢各位今天光临本店。本店的自动取款机现已停止使用。欢迎您今后继续惠顾本店。再次衷心感谢各位顾客今天的光临。,"어서 오십시오. 오늘도 이용해 주셔서 대단히 감사합니다. 현 시간부로, ATM 업무를 종료합니다. 앞으로도 저희 지점을 많이 찾아 주시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.",51-99,金融機関向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
117,00117,template,明⽇も営業,営業案内（明日も営業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。明日、当店は、休まず営業させていただきます。お客様のニーズにお応えして、もっと便利な⾦融機関をめざしてまいります。明日は、休まず営業致します。どうぞご利用くださいませ。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。あす、当店は、休まず営業させていただきます。お客様のニーズにお応えして、もっと便利な金融機関をめざしてまいります。あすは、休まず営業致します。どうぞご利用くださいませ。,"Thank you for visiting us today. The following is an announcement for our customers. We will remain open tomorrow. In order to respond to the needs of our customers, we continue to aim to become a more convenient financial institution. We will remain open tomorrow. We look forward to serving you.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店明天将照常营业。我们将努力满足顾客的需求，力求成为向顾客提供更多便利的金融机构。本店明天将照常营业。敬请惠顾。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 내일 저희 지점은 쉬지 않고 영업을 계속합니다. 고객님의 요청에 부응하여 보다 편리한 금융기관이 되도록 노력하겠습니다. 내일은 쉬지 않고 영업을 계속합니다. 계속해서 많은 이용 바랍니다.,51-99,金融機関向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
118,00118,template,駐⾞券窓口,駐車場料金割引についての案内（金融業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お⾞でお越しのお客様にご案内申し上げます。当駐⾞場では、駐⾞料⾦の割引をいたしております。駐⾞券を必ず窓口までお持ちください。本日のご来店、誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お車でお越しのお客様にご案内申し上げます。当駐車場では、駐車料金の割引をいたしております。駐車券を必ず・窓口までお持ちください。本日のご来店、誠にありがとうございます。,Thank you for visiting us today. The following is an announcement for customers who came by car. We offer a discount on the parking fee at our parking lot. Please bring your parking ticket to the counter for your discount. Thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为驾车前来的顾客广播通知。您可以在本店停车场享受停车费折扣优惠。请您务必持停车券前往柜台。再次衷心感谢您今天的光临。,오늘도 방문해 주셔서 대단히 감사합니다. 자동차로 방문해 주신 고객님께 안내 말씀드립니다. 저희 주차장에서는 주차 요금을 할인해 드리고 있습니다. 반드시 주차권을 지참하시어 창구로 방문해 주시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.,51-99,金融機関向け-全業種のシーン一覧,013-013,駐⾞場-駐⾞場
119,00119,template,禁止事項３種,禁止事項、禁煙・フルフェイスヘルメット・迷惑行為（金融業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にお願い申し上げます。当店は、条例により、禁煙とさせていただいております。ご協⼒お願い致します。お客様にお願い申し上げます。当店では防犯上の理由により、フルフェイスヘルメットを着用したままでのご⼊店を禁止させていただいております。予めご了承くださいますよう、お願い申し上げます。お客様にお願い申し上げます。店内では、他のお客様のご迷惑となるような⾏為はお控えください。みなさまに、気持ちよくご利用いただけますよう、ご協⼒をお願いいたします。本日は、ご来店誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にお願い申し上げます。当店は、条例により、禁煙とさせていただいております。ご協力お願い致します。お客様にお願い申し上げます。当店では防犯上の理由により、フルフェイスヘルメットを着用したままでの・ご入店を禁止させていただいております。予めご了承くださいますよう、お願い申し上げます。お客様にお願い申し上げます。店内では、ほかのお客様のご迷惑となるような行為はお控えください。みなさまに、気持ちよくご利用いただけますよう、ご協力をお願いいたします。本日はご来店誠にありがとうございます。,"Thank you for visiting us today. The following is an announcement for our customers. Smoking is prohibited in this establishment in accordance with the fire prevention ordinance. Thank you for your cooperation. The following is an announcement for our customers. For crime prevention purposes, it is prohibited to have helmets on that cover the face in this establishment. We thank you for your understanding. The following is an announcement for our customers. Please refrain from behavior that can cause trouble for other customers in this establishment. We kindly ask for your cooperation in maintaining a space that anyone can enjoy visiting. Thank you for visiting us today.",衷心感谢各位顾客今天的光临。我们温馨提示您，依照（防火）相关条例的规定，本店店内严禁吸烟。感谢您的配合。我们温馨提示您，出于安全防犯目的，本店禁止佩戴全罩式头盔的人士入内。敬请理解。我们温馨提示您，请勿在店内作出令其他顾客困扰的行为。为了营造舒适温馨的环境，恳请您给予配合。再次衷心感谢您今天的光临。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 당부의 말씀 드립니다. 저희 지점은 화재 예방 조례에 따라 금연을 시행하고 있습니다. 협조를 부탁드립니다. 고객님께 당부의 말씀 드립니다. 저희 지점에서는 범죄 예방을 위해 풀페이스 헬멧을 착용한채의 출입은 금지하고 있습니다. 여러분의 양해를 부탁드립니다. 고객님께 당부의 말씀 드립니다. 지점 내에서는 다른 고객에게 불편을 끼칠수 있는 행위는 삼가주시기 바랍니다. 모든 고객 여러분이 쾌적하게 이용하실 수 있도록, 협조를 부탁드립니다. 오늘도 방문해 주셔서 대단히 감사합니다.",51-99,金融機関向け-全業種のシーン一覧,015-015,注意・禁止-注意・禁⽌
120,00120,template,ＡＴＭ混雑,ATM混雑案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。ただいまＡＴＭコーナーが混雑しやすい時間帯となっております。お客様にはご不便をお掛けする場合もございますが、何卒ご理解のほどよろしくお願いいたします。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。ただいまＡＴＭコーナーが混雑しやすい時間帯となっております。お客様にはご不便をお掛けする場合もございますが、何卒ご理解のほどよろしくお願いいたします。,"Thank you for visiting us today. The following is an announcement for our customers. It is currently peak transaction time at our ATM corner, and crowding is to be expected. We sincerely apologize for any inconvenience you may experience. We thank you for your understanding.",衷心感谢各位顾客今天的光临。下面为您广播通知。现在是自动取款机区较易拥挤的时间。对于可能给您带来的不便，我们深表歉意，恳请您给予理解。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 현재 ATM 코너가 매우 혼잡한 시간대입니다. 고객님께 불편을 끼쳐드릴 수 있사오니 양해를 부탁드립니다.,51-99,金融機関向け-全業種のシーン一覧,020-019,ＡＴＭ注意事項-エコ推奨
121,00121,template,振込限度額,ATM振込限度額案内（店舗向け）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。法令により、ＡＴＭでは１０万円を超える現⾦でのお振込みはお取り扱いしておりません。１０万円を超えるお振込は、キャッシュカードをご利用いただくか、窓口をご利用下さい。尚、窓口でお振込みをされる場合、免許証などの本人確認が必要となります。お客様にはご不便をお掛けする場合もございますが、何卒ご理解いただきますよう、お願い申し上げます。本日のご来店、誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。法令により、ＡＴＭでは１０万円を超える現金でのお振込みはお取り扱いしておりません。１０万円を超えるお振込は、キャッシュカードをご利用いただくか、窓口をご利用下さい。尚、窓口でお振込みをされる場合、免許証などの本人確認が必要となります。お客様にはご不便をお掛けする場合もございますが、何卒ご理解いただきますよう、お願い申し上げます。本日のご来店、誠にありがとうございます。,"Thank you for visiting us today. The following is an announcement for our customers. Cash deposits of 100,000 yen or over on the ATM are prohibited by law. For deposits exceeding 100,000 yen, please use a cash card or come to the counter. When making a deposit at the counter, you will need to show your license or some other form of identification. We apologize for any inconvenience this may cause. Thank you for your understanding. Thank you for visiting us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。根据法律规定，自动取款机不受理超过10万日元的现金汇款。汇款金额超过10万日元时，请您使用现金卡或前往柜台办理手续。另外，在柜台办理汇款手续时，需要您出示驾照等身份证明。对于可能为您带来的不便，我们深表歉意，恳请您给予理解。再次衷心感谢您今天的光临。,"오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 법령에 따라, ATM기기에서는 10만엔을 초과하는 현금 입금은 취급하지 않습니다. 10만엔을 초과한 금액을 입금하고자 하는 경우, 캐시 카드를 이용하시거나, 창구를 이용해 주시기 바랍니다. 또한, 창구에서 입금하시는 경우, 면허증 제시등 본인 확인이 필요합니다. 고객 여러분께 불편을 끼쳐드려 죄송합니다만, 양해를 부탁드립니다. 오늘도 방문해 주셔서 대단히 감사합니다.",30-31-51-99,小売店向け-スーパー／ドラッグ／量販店向け-金融機関向け-全業種のシーン一覧,020-020-020-020,ＡＴＭ注意事項-ＡＴＭ注意事項-ＡＴＭ注意事項-ＡＴＭ注意事項
122,00122,template,開店◯分前,従業員向け、開店◯分前案内（アミューズメント施設）,皆さん、おはようございます。只今、開店${minutes}分前です。お客様をお迎えするために、各自準備をすすめてください。服装は清潔にしていますか？店内の清掃は⾏き届いていますか？景品などはきちんと整頓されていますか？接客時は丁寧な⾔葉遣いを⼼がけましょう。今日も⼀日、お客様にご満足していただけるよう、⼀人ひとりが最善をつくしましょう。只今、開店${minutes}分前です。,皆さん、おはようございます。只今、開店${minutes}分前です。お客様をお迎えするために、各自準備をすすめてください。服装は清潔にしていますか？店内の清掃は⾏き届いていますか？景品などはきちんと整頓されていますか？接客時は丁寧な⾔葉遣いを⼼がけましょう。今日も⼀日、お客様にご満足していただけるよう、⼀人ひとりが最善をつくしましょう。只今、開店${minutes}分前です。,,,,90-99,施設向け-全業種のシーン一覧,004-004,開店-開店
123,00123,template,開店案内,開店案内（アミューズメント施設）,いらっしゃいませ！いらっしゃいませ！本日は、${customerName}にご来店、誠にありがとうございます。たいへん⻑らくお待たせいたしました。当店は只今、開店いたしました！！！いらっしゃいませ！いらっしゃいませ！お目当ての台へお急ぎのお客様。店内を走られると危険です。ご注意下さいますようお願い致します。,いらっしゃいませ、いらっしゃいませ！本日は、${customerName}にご来店、誠にありがとうございます。たいへん長らくお待たせいたしました。当店は只今、開店いたしました！！！いらっしゃいませ、いらっしゃいませ！お目当ての台へお急ぎのお客様。店内を走られると危険です。ご注意下さいますようお願い致します。,"Welcome! Welcome! Thank you for visiting us today. We thank you for your patience. We have just opened!!! Welcome! Welcome! Customers who are hurrying to their target machine, we kindly ask that you make your way through the establishment carefully, as running in this establishment is a safety hazard. Please be careful.",欢迎光临！欢迎光临！衷心感谢各位顾客今天的光临。让各位久等了。本店现在开始营业！！！欢迎光临！欢迎光临！急于前往已相中的游戏机的顾客请注意，请勿在店内奔跑，以免发生危险。,어서 오세요! 환영합니다! 오늘도 방문해 주셔서 대단히 감사합니다. 정말 오래 기다리셨습니다. 지금부터 개점하도록 하겠습니다!!! 어서 오세요! 환영합니다! 미리 정해 놓은 기기를 향해 서둘러 가시는 고객님. 점내에서 뛰면 위험합니다. 주의해 주시기 바랍니다.,90-99,施設向け-全業種のシーン一覧,004-004,開店-開店
124,00124,template,まもなく閉店,閉店予告案内（アミューズメント施設）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店は、まもなく閉店時間でございます。お客様のまたのご来店を心よりお待ち申し上げております。本日は誠にありがとうございました。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店は、まもなく閉店時間でございます。お客様の・またのご来店を、心よりお待ち申し上げております。本日は誠にありがとうございました。,Thank you for visiting us today. The following is an announcement for our customers. We are nearing closing time. We look forward to seeing you again soon. Thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店的营业时间即将结束。我们衷心恭候您的下次光临。再次感谢您今天光临本店。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 곧 저희 매장의 영업 종료 시간입니다. 다시 찾아 주시기를 진심으로 기원합니다. 오늘도 이용해 주셔서 대단히 감사합니다.,90-99,施設向け-全業種のシーン一覧,005-005,閉店-閉店
125,00125,template,コイン共有禁止,コイン共有禁止案内（アミューズメント施設）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、お客様同士のコインの共有は禁止となっております。ご理解・ご協⼒くださいますようお願いいたします。本日のご来店、誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、お客様同士のコインの共有は禁止となっております。ご理解・ご協⼒くださいますようお願いいたします。本日のご来店、誠にありがとうございます。,Thank you for visiting us today. The following is an announcement for our customers. The sharing of token coins with others is prohibited in this establishment. We thank you for your cooperation and understanding. Thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店禁止顾客之间共享游戏币。恳请您给予理解与配合。再次衷心感谢您今天的光临。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 업소에서는 고객간의 코인 공유를 금지하고 있습니다. 양해와 협조를 부탁드립니다. 오늘도 방문해 주셔서 대단히 감사합니다.,90-99,施設向け-全業種のシーン一覧,007-007,案内-案内
126,00126,template,コイン共有自由,コイン共有可能案内（アミューズメント施設）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、お客様によりお愉しみただけるよう、コインの共有は自由となっております。どうぞ、ごゆっくりお楽しみ下さい。本日のご来店、誠にありがとうございます。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、お客様に、よりお愉しみいただけるよう、コインの共有は自由となっております。どうぞ、ごゆっくりお楽しみ下さい。本日のご来店、誠にありがとうございます。,"Thank you for visiting us today. The following is an announcement for our customers. Here in our establishment, the sharing of token coins is allowed so that our customers can enjoy their time here with us to its fullest. We hope you enjoy your time here with us today. Thank you for visiting us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。为了使各位顾客更加享受游戏的乐趣，本店允许顾客之间共享游戏币。祝您在本店度过一段轻松愉快的时光。再次衷心感谢您今天的光临。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 업소에서는 고객님께서 보다 즐거운 시간을 보내실 수 있도록 자유롭게 코인을 공유할 수 있습니다. 편안한 시간 보내시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.,90-99,施設向け-全業種のシーン一覧,007-007,案内-案内
127,00127,template,メダルコーナー案内,メダルコーナー案内（アミューズメント施設）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、人気のメダルコーナーを設置させていただいております。お気軽にお遊びいただけるメダルゲーム機を、いろいろと取り揃えてございますので、ぜひご利用ください。本日は、ご利用ありがとうございます。どうぞ、ごゆっくりお過ごしくださいませ。,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、人気のメダルコーナーを設置させていただいております。お気軽に・お愉しみいただけるようメダルゲーム機を、いろいろと取り揃えてございますので、ぜひご利用ください。本日は、ご利用ありがとうございます。どうぞ、ごゆっくりお過ごしくださいませ。,"Thank you for visiting us today. The following is an announcement for our customers. We have an ever popular medal game corner available in this establishment with a variety of different medal games available for your gaming pleasure, so we hope you will give them a try. Thank you for visiting us today. We hope you enjoy your time here with us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店店内设有热门游戏币机专区。游戏币机种类齐全，欢迎随时使用。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 업소에는 인기 메달 코너가 설치되어 있습니다. 손쉽게 즐기실 수 있는 메달 게임기가 다양하게 구비되어 있으므로 이용해 주시기 바랍니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,90-99,施設向け-全業種のシーン一覧,007-007,案内-案内
